listing_id,title,neighborhood,price_lakhs,bedrooms,area_sqft,property_age_years,amenities,description,floor_level,natural_light_level
BLR-R-001,Bright corner flat near 100 Feet Road,Indiranagar,195,2,1280,4,gym|covered parking|power backup|balcony,South-east corner unit with floor-to-ceiling windows and morning light in both bedrooms.,4,4
BLR-R-002,Well-connected flat close to metro,Indiranagar,178,2,1150,6,covered parking|security|lift,Mid-floor apartment in a quiet lane with moderate natural light and good commute access.,3,3
BLR-R-003,Spacious 3 BHK with private terrace,Indiranagar,235,3,1680,3,gym|pool|covered parking|balcony|smart home,Top-floor flat with a private terrace and excellent cross-ventilation all day.,5,4
BLR-R-004,Affordable resale flat with parking,Indiranagar,165,2,1100,10,covered parking|security,Lower-floor older unit with adequate amenities and limited direct sunlight.,2,2
BLR-R-005,New-launch premium residence,Indiranagar,248,3,1750,1,gym|pool|covered parking|ev charging|balcony,Brand-new boutique-tower apartment with premium finishes and abundant light.,4,4
BLR-R-006,Quiet mid-rise near eateries,Indiranagar,188,2,1250,5,covered parking|balcony|gym,Well-maintained apartment in a tree-lined lane with a good-sized balcony.,3,3
BLR-R-007,Modern flat in gated community,Indiranagar,205,2,1320,2,gym|covered parking|coworking|balcony,Recently built apartment with high ceilings and a sun-facing balcony.,4,4
BLR-R-008,Garden-facing home with big windows,Koramangala,182,2,1260,2,garden|gym|covered parking|coworking lounge,Bright garden-facing home with full-height windows and a short walk to offices.,3,4
BLR-R-009,Practical apartment near tech hub,Koramangala,170,2,1190,7,covered parking|security|power backup,Mid-floor apartment with reliable power backup and security; average natural light.,2,3
BLR-R-010,Amenity-rich community flat,Koramangala,228,3,1720,4,pool|gym|covered parking|clubhouse|balcony,Large gated-community apartment with resort-style amenities and a breezy balcony.,4,3
BLR-R-011,Smart new apartment near cafes,Koramangala,194,2,1300,1,gym|covered parking|smart locks|balcony,Freshly built flat with smart-home features and a south-facing sun balcony.,4,4
BLR-R-012,Budget starter in prime location,Koramangala,168,2,1140,9,security|lift|metro access,Ground-floor older unit in a prime area; convenient but limited sunlight and no covered parking.,1,1
BLR-R-013,3 BHK with balcony and gym,Koramangala,215,3,1650,5,gym|covered parking|power backup|balcony,Well-designed 3 BHK with a large balcony and reliable backup power.,3,3
BLR-R-014,Ultra-premium sky apartment,Sadashivanagar,262,3,1900,1,pool|gym|covered parking|sky deck|ev charging,Top-floor apartment with a private sky deck and city views; the brightest unit in the complex.,5,4
BLR-R-015,Prestigious enclave flat,Sadashivanagar,212,2,1350,6,covered parking|gym|balcony,Well-designed mid-floor apartment in a prestigious neighbourhood with a sunny balcony.,3,3
BLR-R-016,3 BHK with study and terrace,Sadashivanagar,245,3,1850,2,gym|pool|covered parking|concierge|terrace,Penthouse-style residence with panoramic views and abundant natural light.,5,4
BLR-R-017,Classic resale home with parking,Sadashivanagar,198,2,1280,8,covered parking|security|power backup,Older resale unit in a mature neighbourhood with practical layout and moderate light.,2,2
BLR-R-018,Old-Bengaluru home near park,Malleswaram,172,2,1380,11,tree-lined street|covered parking|security,Low-rise flat in a mature neighbourhood with filtered light through the tree canopy.,2,3
BLR-R-019,Well-maintained apartment near market,Malleswaram,165,2,1240,8,covered parking|security|garden,Calm apartment with a small garden and good neighbourhood feel.,2,3
BLR-R-020,3 BHK in gated community,Malleswaram,220,3,1690,6,pool|gym|covered parking|balcony,Well-maintained gated complex with good amenities and a breezy third-floor balcony.,3,3
BLR-R-021,Compact flat in established area,Malleswaram,155,2,1150,14,covered parking|security,Budget-friendly older unit in a well-connected area; limited windows and natural light.,1,2
